127.0.0.1 - - [13/Apr/2022:05:02:44 -0600] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Apr/2022:05:02:48 -0600] "GET /ChatService/services HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [13/Apr/2022:05:02:48 -0600] "GET /ChatService/services/?stylesheet=1 HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [13/Apr/2022:05:02:48 -0600] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Apr/2022:05:02:50 -0600] "GET /ChatService/services/ChatServerImplPort?wsdl HTTP/1.1" 200 4323
0:0:0:0:0:0:0:1 - - [13/Apr/2022:05:02:53 -0600] "GET /ChatService/services/ChatServerImplPort?xsd=chatserverimpl_schema1.xsd HTTP/1.1" 200 1800
127.0.0.1 - - [13/Apr/2022:05:03:49 -0600] "POST /ChatService/services/ChatServerImplPort?wsdl HTTP/1.1" 200 228
127.0.0.1 - - [13/Apr/2022:05:03:49 -0600] "POST /ChatService/services/ChatServerImplPort?wsdl HTTP/1.1" 200 228
127.0.0.1 - - [13/Apr/2022:05:03:49 -0600] "POST /ChatService/services/ChatServerImplPort?wsdl HTTP/1.1" 200 228
127.0.0.1 - - [13/Apr/2022:05:03:49 -0600] "POST /ChatService/services/ChatServerImplPort?wsdl HTTP/1.1" 200 228
127.0.0.1 - - [13/Apr/2022:05:03:49 -0600] "POST /ChatService/services/ChatServerImplPort?wsdl HTTP/1.1" 200 228
127.0.0.1 - - [13/Apr/2022:05:03:49 -0600] "POST /ChatService/services/ChatServerImplPort?wsdl HTTP/1.1" 200 228
127.0.0.1 - - [13/Apr/2022:05:03:49 -0600] "POST /ChatService/services/ChatServerImplPort?wsdl HTTP/1.1" 200 228
127.0.0.1 - - [13/Apr/2022:05:03:49 -0600] "POST /ChatService/services/ChatServerImplPort?wsdl HTTP/1.1" 200 228
127.0.0.1 - - [13/Apr/2022:05:03:49 -0600] "POST /ChatService/services/ChatServerImplPort?wsdl HTTP/1.1" 200 228
127.0.0.1 - - [13/Apr/2022:05:03:49 -0600] "POST /ChatService/services/ChatServerImplPort?wsdl HTTP/1.1" 200 228
127.0.0.1 - - [13/Apr/2022:05:03:51 -0600] "POST /ChatService/services/ChatServerImplPort?wsdl HTTP/1.1" 200 228
127.0.0.1 - - [13/Apr/2022:05:03:51 -0600] "POST /ChatService/services/ChatServerImplPort?wsdl HTTP/1.1" 200 228
127.0.0.1 - - [13/Apr/2022:05:03:51 -0600] "POST /ChatService/services/ChatServerImplPort?wsdl HTTP/1.1" 200 228
127.0.0.1 - - [13/Apr/2022:05:03:51 -0600] "POST /ChatService/services/ChatServerImplPort?wsdl HTTP/1.1" 200 228
127.0.0.1 - - [13/Apr/2022:05:03:51 -0600] "POST /ChatService/services/ChatServerImplPort?wsdl HTTP/1.1" 200 228
127.0.0.1 - - [13/Apr/2022:05:03:51 -0600] "POST /ChatService/services/ChatServerImplPort?wsdl HTTP/1.1" 200 228
127.0.0.1 - - [13/Apr/2022:05:03:51 -0600] "POST /ChatService/services/ChatServerImplPort?wsdl HTTP/1.1" 200 228
127.0.0.1 - - [13/Apr/2022:05:03:51 -0600] "POST /ChatService/services/ChatServerImplPort?wsdl HTTP/1.1" 200 228
127.0.0.1 - - [13/Apr/2022:05:03:51 -0600] "POST /ChatService/services/ChatServerImplPort?wsdl HTTP/1.1" 200 228
127.0.0.1 - - [13/Apr/2022:05:03:51 -0600] "POST /ChatService/services/ChatServerImplPort?wsdl HTTP/1.1" 200 228
127.0.0.1 - - [13/Apr/2022:05:03:53 -0600] "POST /ChatService/services/ChatServerImplPort?wsdl HTTP/1.1" 200 228
127.0.0.1 - - [13/Apr/2022:05:03:53 -0600] "POST /ChatService/services/ChatServerImplPort?wsdl HTTP/1.1" 200 228
